dos_ID,tcST,tcET,fcST,fcET,scST,scET,AVGwin,dDE,abST,S_PC2,S_PC4,S_PC5,S_PC6
VA00000189T,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,10,1000,3/21/2017 12:37,0.091570452,0.090834869,0.092541532,0.088364195
VA000002825,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,10,1000,3/21/2017 12:56,0.094594319,0.090557289,0.094636844,0.0979124
VA000003055,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,10,1000,3/21/2017 12:31,0.097927843,0.091138619,0.092973631,0.089675654
VA00000309X,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,10,1000,3/21/2017 12:55,0.1010831,0.098189613,0.094871773,0.090230013
VA000003261,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,10,1000,3/21/2017 13:02,0.095062551,0.092258855,0.092533037,0.088181078
VA000004029,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,10,1000,3/28/2017 14:47,0.092633427,0.094918076,0.091824591,0.092375905
VA000005431,4/1/2017 0:00,4/13/2017 12:00,4/1/2017 0:00,4/13/2017 12:00,4/1/2017 0:00,4/13/2017 12:00,10,1000,3/7/2017 0:58,0.091631,0.091616,0.095261,0.09208
VA000005514,4/1/2017 0:00,4/13/2017 12:00,4/1/2017 0:00,4/13/2017 12:00,4/1/2017 0:00,4/13/2017 12:00,10,1000,3/7/2017 1:00,0.094345,0.09095,0.092018,0.089014
VA00000557S,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,10,1000,3/7/2017 0:49,0.090817328,0.089458781,0.092501411,0.088731311
VA00000564X,4/1/2017 0:00,4/13/2017 12:00,4/1/2017 0:00,4/13/2017 12:00,4/1/2017 0:00,4/13/2017 12:00,10,1000,3/7/2017 0:59,0.09116,0.092799,0.091636,0.090897
VA000005712,4/1/2017 0:00,4/13/2017 12:00,4/1/2017 0:00,4/13/2017 12:00,4/1/2017 0:00,4/13/2017 12:00,10,1000,3/7/2017 1:09,0.097556,0.092222,0.094187,0.090098
VA00000573Y,4/1/2017 0:00,4/13/2017 12:00,4/1/2017 0:00,4/13/2017 12:00,4/1/2017 0:00,4/13/2017 12:00,10,1000,3/7/2017 0:57,0.09541,0.090426,0.097865,0.091884
VA00000577Q,4/1/2017 0:00,4/13/2017 12:00,4/1/2017 0:00,4/13/2017 12:00,4/1/2017 0:00,4/13/2017 12:00,10,1000,3/7/2017 0:53,0.094097,0.091181,0.092604,0.088892
VA000005803,4/1/2017 0:00,4/13/2017 12:00,4/1/2017 0:00,4/13/2017 12:00,4/1/2017 0:00,4/13/2017 12:00,10,1000,3/7/2017 0:37,0.096859,0.089456,0.09288,0.09383
VA00000863T,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,10,1000,4/21/2017 16:21,0.09405415,0.092721917,0.096314033,0.090522338
VA00000871W,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,10,1000,4/21/2017 16:08,0.095786868,0.087065801,0.091124087,0.093283401
VA00000884P,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,5/1/2017 0:00,5/12/2017 0:00,10,1000,4/21/2017 16:51,0.093684627,0.094400931,0.095822741,0.091348552
